threshold,harmbench,xstest_fr,avg_bits,pct_escalated
0.05,0.9300,0.5600,4.902,0.1127
0.1,0.9300,0.5400,4.785,0.0982
0.15,0.9300,0.5200,4.742,0.0927
0.2,0.9300,0.5000,4.727,0.0909
0.25,0.9300,0.5000,4.727,0.0909
0.3,0.9300,0.5000,4.727,0.0909
0.35,0.9300,0.4800,4.713,0.0891
0.4,0.9300,0.4800,4.713,0.0891
0.45,0.9300,0.4800,4.713,0.0891
0.5,0.9300,0.4800,4.713,0.0891
0.55,0.9250,0.4800,4.684,0.0855
0.6,0.9250,0.4800,4.684,0.0855
0.65,0.9250,0.4800,4.684,0.0855
0.7,0.9250,0.4800,4.684,0.0855
0.75,0.9250,0.4800,4.684,0.0855
0.8,0.9200,0.4800,4.669,0.0836
0.85,0.9200,0.4800,4.669,0.0836
0.9,0.9100,0.4800,4.625,0.0782
0.95,0.8450,0.4800,4.320,0.0400
